,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
0,292731391,30 09 23:15,38000,Выборгский,38000,0.66,1 месяц,несколько месяцев,28,2019
1,283791063,30 09 09:07,36990,Выборгский,30000,0,1 месяц,от года,28,
2,244958937,30 09 08:19,31990,Выборгский,30000,0,1 месяц,несколько месяцев,28,
3,293084840,29 08 22:19,90000,Центральный,90000,1.0,1 месяц,от года,68,2014
4,286572977,01 10 11:12,35000,Центральный,25000,0,1 месяц,от года,19,1873
5,276849795,28 08 16:21,54000,Центральный,45000,0,1 месяц,несколько месяцев,26,2020
6,291899980,28 08 16:30,46000,Центральный,45000,0,1 месяц,от года,26,2020
7,279245414,01 10 09:34,35000,Центральный,34900,0,1 месяц,несколько месяцев,30,1846
8,289912260,26 08 18:01,38000,Фрунзенский,38000,0,,несколько месяцев,24.5,
9,289246979,26 08 17:46,35000,Фрунзенский,35000,0,,несколько месяцев,19,
10,289916991,26 08 16:21,38000,Фрунзенский,38000,0,,несколько месяцев,24.5,
11,289246978,26 08 17:46,33000,Фрунзенский,33000,0,,несколько месяцев,16,
12,289916999,26 08 16:22,40000,Фрунзенский,40000,0,,несколько месяцев,24,
13,289246981,26 08 16:22,40000,Фрунзенский,40000,0,,несколько месяцев,24,
14,289912318,26 08 16:22,54000,Фрунзенский,54000,0,,несколько месяцев,33,
15,289912270,26 08 16:21,33000,Фрунзенский,33000,0,,несколько месяцев,16,
16,291401746,29 08 11:45,27500,Центральный,10000,0.1,1 месяц,от года,14,1896
17,289912303,26 08 16:22,50000,Фрунзенский,50000,0,,несколько месяцев,35,
18,289912296,26 08 16:21,44000,Фрунзенский,44000,0,,несколько месяцев,26,
19,289912289,26 08 16:21,43000,Фрунзенский,43000,0,,несколько месяцев,29,
20,293020468,30 09 03:11,150000,Петроградский,150000,0.5,1 месяц,от года,73,2019
21,292665884,21 08 23:24,250000,Центральный,250000,0.5,1 месяц,от года,232,1904
22,292631655,28 08 16:22,170000,Петроградский,170000,0.5,1 месяц,от года,114,2010
23,292047810,22 08 17:56,250000,Центральный,250000,0.5,1 месяц,от года,232,1904
24,263963252,01 10 09:30,36000,Центральный,36000,0,1 месяц,несколько месяцев,36,1846
25,293170648,30 09 13:24,40000,Приморский,40000,1.0,1 месяц,от года,66,2018
26,292447097,12 08 14:50,45000,Центральный,45000,1.0,1 месяц,от года,28,1874
27,293043963,01 10 12:18,150000,Центральный,150000,0.4,1 месяц,от года,90,2013
28,291165128,18 08 10:45,190000,Центральный,190000,0.25,1 месяц,от года,130,2013
29,291494765,29 08 20:41,90000,Центральный,90000,0.5,1 месяц,от года,56,1929
30,290968329,12 08 16:40,300000,Петроградский,300000,1.0,,от года,190.2,2007
31,293182269,30 09 22:22,30000,Приморский,30000,0,1 месяц,от года,21,2020
32,290237593,28 08 16:22,330000,Петроградский,330000,0.5,1 месяц,от года,205,2008
33,290096475,22 08 17:35,190000,Центральный,190000,0.5,1 месяц,от года,130.6,2013
34,293052310,30 09 22:18,115000,Московский,115000,0.5,1 месяц,от года,110.2,2009
35,283340074,24 08 13:23,30000,Центральный,35000,0,1 месяц,несколько месяцев,12,
36,293177611,01 10 11:38,27000,Приморский,,0.4,1 месяц,от года,23.7,2020
37,293170652,30 09 13:24,110000,Петроградский,110000,0.5,1 месяц,от года,67,2020
38,291463458,28 08 14:10,20900,Приморский,20900,0.4,1 месяц,от года,35.9,2019
39,292935644,28 08 14:11,18500,Выборгский,,0.4,1 месяц,от года,31.9,1977
40,292880607,30 09 21:40,80000,Адмиралтейский,80000,0,1 месяц,от года,52,
41,292090052,21 08 12:02,38500,Московский,,0.4,1 месяц,от года,36.6,
42,291463462,21 08 12:02,41900,Выборгский,,0.4,1 месяц,от года,57.2,1977
43,289349728,22 08 16:07,90000,Центральный,90000,0.75,1 месяц,от года,60,1822
44,292402804,28 08 14:11,38000,Приморский,,0.4,1 месяц,от года,39,2020
45,292432694,28 08 16:18,100000,Курортный,100000,0.5,1 месяц,от года,103,
46,290460130,22 08 17:38,500000,Петроградский,500000,0.5,1 месяц,от года,140,2005
47,291463464,21 08 12:02,40900,Фрунзенский,,0.3,1 месяц,от года,37.2,2020
48,292717247,30 09 10:06,150000,Центральный,150000,1.0,1 месяц,от года,78,1798
49,292935650,27 08 21:03,36800,Невский,,0.4,1 месяц,от года,45.6,2014
50,292368250,30 09 13:51,100000,Курортный,100000,0.5,1 месяц,от года,103,
51,292776820,28 08 16:19,750000,Петроградский,1125000,0.5,1 месяц,от года,155,2017
52,292846176,28 08 13:51,180000,Центральный,180000,0.5,1 месяц,от года,91,2018
53,292238186,29 08 14:40,70000,Центральный,60000,0,1 месяц,от года,59,1880
54,293078595,28 08 13:48,59990,Приморский,59990,1.0,1 месяц,от года,55,2015
55,291014094,29 08 14:56,130000,Петроградский,65000,0.5,1 месяц,несколько месяцев,72,1951
56,292731393,30 09 18:26,68000,Красногвардейский,68000,0.5,1 месяц,от года,44,2019
57,287545082,28 08 16:19,55000,Центральный,60000,0.5,1 месяц,от года,27,2020
58,292750680,28 08 16:20,90000,Центральный,90000,1.0,1 месяц,от года,56,1777
59,292134624,22 08 17:35,430000,Петроградский,430000,0.5,1 месяц,от года,170,
60,291186288,22 08 17:37,150000,Центральный,150000,1.0,1 месяц,от года,75,2016
61,292550759,29 08 13:34,80000,Центральный,80000,0.5,1 месяц,от года,50,2014
62,290717303,22 08 17:35,120000,Центральный,120000,0.5,1 месяц,от года,122.6,2009
63,293026808,28 08 16:16,120000,Центральный,120000,0.5,1 месяц,от года,70,
64,277777673,30 09 15:37,65000,Невский,68000,0,1 месяц,от года,72,1986
65,291404072,28 08 16:19,180000,Курортный,180000,0.5,1 месяц,от года,120,
66,292839221,29 08 11:46,180000,Центральный,180000,0.5,1 месяц,от года,91,2018
67,293077327,30 09 13:06,80000,Петроградский,80000,0.5,1 месяц,от года,46,2019
68,292235940,29 08 14:45,60000,Центральный,50000,0,1 месяц,от года,60,1890
69,290459776,28 08 16:22,200000,Петроградский,200000,0.25,2 месяца,от года,138,2007
70,292240916,28 08 21:30,65000,Центральный,50000,0,1 месяц,от года,75,1890
71,292839663,30 09 11:21,180000,Центральный,180000,0.5,1 месяц,от года,91,2018
72,292877398,29 08 19:34,135000,Петроградский,135000,0.5,1 месяц,от года,74,1909
73,292238536,29 08 14:45,80000,Центральный,65000,0,1 месяц,от года,103,1833
74,292240151,29 08 14:41,75000,Центральный,60000,0,1 месяц,от года,75,1910
75,292413843,28 08 16:17,68000,Центральный,35000,0.5,1 месяц,от года,45,1869
76,290148583,28 08 16:19,190000,Центральный,190000,0.25,1 месяц,от года,130,2013
77,284500718,22 08 17:33,120000,Центральный,120000,0.5,1 месяц,от года,65,1828
78,291967212,27 08 15:55,72000,Адмиралтейский,90000,0,1 месяц,от года,47,2022
79,291056278,28 08 16:19,45000,Петроградский,40000,0.5,1 месяц,от года,26.5,
80,292321561,22 08 17:38,160000,Выборгский,160000,0.5,1 месяц,от года,75,2008
81,290028729,29 08 17:29,80000,Курортный,80000,0.5,,от года,80,2017
82,290453285,28 08 16:22,65000,Московский,65000,0.5,1 месяц,от года,47,2021
83,288859063,28 08 16:19,75000,Московский,75000,0.25,1 месяц,от года,71,1953
84,288859063,28 08 16:19,75000,Московский,75000,0.25,1 месяц,от года,71,1953
85,290028729,29 08 17:29,80000,Курортный,80000,0.5,,от года,80,2017
86,291968755,22 08 17:34,85000,Красногвардейский,85000,0.5,1 месяц,от года,68,
87,292154588,28 08 16:19,85000,Василеостровский,85000,0.25,1 месяц,от года,80,2015
88,291377740,28 08 16:19,100000,Московский,100000,0.5,1 месяц,от года,61.1,1985
89,292138116,28 08 16:21,110000,Петроградский,110000,0.5,1 месяц,от года,66,2020
90,284500718,22 08 17:33,120000,Центральный,120000,0.5,1 месяц,от года,65,1828
91,287545169,28 08 16:21,130000,Василеостровский,130000,0,1 месяц,от года,69,
92,291632902,22 08 17:38,150000,Центральный,150000,0.5,1 месяц,от года,85,
93,292582736,22 08 17:34,160000,Московский,160000,0.5,1 месяц,от года,115,2013
94,292321561,22 08 17:38,160000,Выборгский,160000,0.5,1 месяц,от года,75,2008
95,289491055,28 08 16:20,215000,Петроградский,215000,0.5,1 месяц,от года,95,2007
96,292985414,28 08 16:16,210000,Приморский,210000,0.5,1 месяц,от года,102,
97,292934878,28 08 16:20,400000,Петроградский,400000,0.5,1 месяц,от года,120,2018
98,292976915,28 08 16:17,30000,Кировский,18000,0.5,1 месяц,от года,23,
99,292882203,28 08 16:17,33000,Кировский,16500,0.5,1 месяц,несколько месяцев,25,
100,292539328,28 08 16:40,35000,Пушкинский,35000,0,2 месяца,от года,36.3,1975
101,293079076,30 09 10:43,38000,Василеостровский,40000,0,1 месяц,от года,28.4,2023
102,293181123,01 10 09:34,39000,Калининский,25000,0,1 месяц,от года,31.6,1961
103,291066409,28 08 16:21,40000,Выборгский,25000,0.5,1 месяц,от года,29,
104,293031536,29 08 19:34,50000,Московский,50000,1.0,1 месяц,от года,38,2018
105,292798753,28 08 16:16,60000,Приморский,60000,1.0,1 месяц,от года,55,2013
106,292932192,30 09 14:04,65000,Выборгский,32500,0.5,1 месяц,несколько месяцев,40,2022
107,293073593,29 08 20:52,65000,Адмиралтейский,65000,0.5,1 месяц,от года,46,1912
108,292279095,30 09 16:15,70000,Центральный,70000,0.36,1 месяц,от года,72.9,1822
109,292807955,28 08 16:19,70000,Адмиралтейский,70000,0.5,1 месяц,от года,55,1856
110,292317249,28 08 16:20,79000,Василеостровский,79000,0.5,1 месяц,от года,30,
111,292057725,28 08 16:20,85000,Красногвардейский,85000,0.5,1 месяц,от года,68,2019
112,281081977,25 08 13:15,350000,Центральный,350000,0.5,1 месяц,от года,220,1870
113,292458903,01 10 11:06,750000,Петроградский,1125000,0.5,1 месяц,от года,155,2017
114,292317249,28 08 16:20,79000,Василеостровский,79000,0.5,1 месяц,от года,30,
115,292501946,01 10 11:06,100000,Василеостровский,100000,0.5,1 месяц,от года,73.8,
116,292242655,22 08 17:38,169000,Центральный,169000,0.5,1 месяц,от года,155,1900
117,292328070,20 08 15:03,300000,Центральный,300000,0.5,1 месяц,от года,197,1792
118,292317247,28 08 16:20,120000,Кировский,120000,0.5,1 месяц,от года,75,2022
119,292057725,28 08 16:20,85000,Красногвардейский,85000,0.5,1 месяц,от года,68,2019
120,290471799,22 08 17:38,120000,Красногвардейский,120000,0.5,1 месяц,от года,150,2001
121,292534968,30 09 10:24,280000,Центральный,280000,1.0,1 месяц,от года,160,2013
122,293189073,01 10 11:04,60000,Фрунзенский,60000,0.5,1 месяц,от года,67,2020
123,292769557,28 08 15:21,40000,Центральный,40000,0.5,1 месяц,от года,26,2020
124,292404632,29 08 17:04,220000,Петроградский,220000,1.0,1 месяц,от года,58.8,2021
125,292940316,28 08 10:13,48000,Фрунзенский,24000,0.5,1 месяц,несколько месяцев,64,1903
126,292771131,30 09 10:38,350000,Адмиралтейский,350000,1.0,1 месяц,от года,270,1880
127,268986769,29 08 17:23,30000,Центральный,3000,0,1 месяц,несколько месяцев,18,1889
128,293025009,27 08 11:57,26000,Калининский,26000,0.5,1 месяц,от года,41,2006
